"State","Median.Income"
"Alabama",52371
"Alaska",44191
"Arizona",65720
"Arkansas",48484
"California",39832
"Colorado",59209
"Connecticut",61154
"Delaware",67784
"District of Columbia",53805
"Florida",56895
"Georgia",47353
"Hawaii",46867
"Idaho",61308
"Illinois",49293
"Indiana",55534
"Iowa",47526
"Kansas",52781
"Kentucky",48451
"Louisiana",43860
"Maine",44484
"Maryland",49572
"Massachusetts",66928
"Michigan",62634
"Minnesota",50118
"Mississippi",58094
"Missouri",37427
"Montana",49615
"Nebraska",43607
"Nevada",52498
"New Hampshire",55559
"New Jersey",68187
"New Mexico",68071
"New York",44819
"North Carolina",52683
"North Dakota",44393
"Ohio",52176
"Oklahoma",48567
"Oregon",48137
"Pennsylvania",52758
"Rhode Island",52103
"South Carolina",54879
"South Dakota",43566
"Tennessee",50977
"Texas",41979
"Utah",49172
"Vermont",63329
"Virginia",53914
"Washington",64095
"West Virginia",61241
"Wisconsin",41073
"Wyoming",53605
"",55367
